"Do you want pieces of chicken?","X"
"Do you want 2 piece Original Recipe chicken?","X1"
"2 piece OR chicken","X11"
"Do you want 2 piece crispy chicken?","X10"
"2 piece crispy chicken","X101"
"Do you want 3 piece Original Recipe chicken?","X100"
"3 piece OR chicken","X1001"
"Do you want 3 piece crispy chicken?","X1000"
"3 piece crispy chicken","X10001"
"Chicken Bucket","X10000"
"Do you want a Box meal?","X0"
"Do you want the Zinger Box?","X01"
"Zinger Box","X011"
"Do you want the Shrooms Box?","X010"
"Shrooms Box","X0101"
"Do you want the Pocket Box?","X0100"
"Pocket Box","X01001"
"Tenders Box","X01000"
"Is your order either a wrap or a Snackers meal?","X00"
"Do you want a Pocket Bandito?","X001"
"Pocket Bandito","X0011"
"Do you want Popcorn Chicken Snackers?","X0010"
"Popcorn Chicken Snackers","X00101"
"Do you want BBQ Meltz?","X00100"
"BBQ Meltz","X001001"
"Do you want Nuggets Snackers?","X001000"
"Nuggets Snackers","X0010001"
"Do you want Wing Snackers?","X0010000"
"Wing Snackers","X00100001"
"Crispy Tenders Snackers","X00100000"
"Do you want an a la carte Burger?","X000"
"Do you want a Zinger Burger?","X0001"
"Zinger Burger","X00011"
"Do you want a Shrooms Fillet Burger?","X00010"
"Shrooms Fillet Burger","X000101"
"Do you want a Colonel Burger?","X000100"
"Colonel Burger","X0001001"
"Crispy Tenders Burger","X0001000"
"Do you want the Original Recipe Rice Bucket?","X0000"
"Original Recipe Rice Bucket","X00001"
"Curry Rice Bucket","X00000"
