"Do you want any of these items [2 piece OR chicken, 3 piece OR chicken, Tenders Box, Pocket Box, Shrooms Fillet Burger, Zinger, Cheesy BBQ Meltz, Pocket Bandito]?","X"
"Do you want pieces of chicken? (not a burger, wrap, and such – just chicken)","X0"
"Do you want any of these items [2 piece OR chicken, 3 piece OR chicken, Cheesy BBQ Meltz, Pocket Bandito]?","X1"
"Do you want a Snacker?","X01"
"Do you want either the Popcorn Chicken Snackers OR Nuggets 4 piece snackers?","X011"
"Do you want Popcorn Chicken Snackers?","X0111"
"Nuggets 4 piece Snackers","X01110"
"Popcorn Chicken Snackers","X01111"
"Do you want pieces of chicken? (not a burger,wrap,and such – just chicken)","X11"
"Do you want the 2 piece Original chicken?","X111"
"2 piece OR chicken","X1111"
"3 piece OR chicken","X1110"
"Do you want the 2 piece Crispy chicken?","X010"
"2 piece Crispy Chicken","X0101"
"Do you want the 3 piece Crispy Chicken?","X0100"
"3 piece Crispy Chicken","X01001"
"All Chicken Bucket","X01000"
"Do you want any of these items? [Zinger Box,Curry Rice Bucket,OR Rice Bucket]?","X00"
"Do you want the Zinger Box?","X001"
"Zinger Box","X0011"
"Do you want the Original Rice Bucket?","X0010"
"Curry Rice Bucket","X00100"
"Original Recipe Rice Bucket","X00101"
"Do you want the Shrooms Box?","X000"
"Shrooms Box","X0001"
"Do you want the Colonel Burger?","X0000"
"Crispy Tenders Burger","X00000"
"Colonel Burger","X00001"
"Do you want the Wings Snacker?","X0110"
"Wings Snacker","X01101"
"Crispy Tenders Snackers","X01100"
"Do you want a Burger?","X10"
"Do you want a Zinger?","X101"
"Zinger","X1011"
"Shrooms Fillet Burger","X1010"
"Do you want the Pocket Box?","X100"
"Pocket Box","X1001"
"Tenders Box","X1000"
"Do you want the Pocket Bandito?","X110"
"Pocket Bandito","X1101"
"Cheesy BBQ Meltz","X1100"
